PR,PR_API,ChatGPT_Link,Link_Status
https://github.com/Mudlet/Mudlet/pull/7123 ,https://api.github.com/repos/Mudlet/Mudlet/pulls/7123,https://chatgpt.com/share/cf97d3d8-e419-4878-9a2b-87409195340a,200
https://github.com/sign-language-processing/sign-language-processing.github.io/pull/38 ,https://api.github.com/repos/sign-language-processing/sign-language-processing.github.io/pulls/38,https://chatgpt.com/share/d635924e-07f6-4642-9850-d1433b47b9b4,200
https://github.com/pollen-robotics/rustypot/pull/50 ,https://api.github.com/repos/pollen-robotics/rustypot/pulls/50,https://chatgpt.com/share/bbb2a8d4-ede4-4101-909b-106c9df5570b,200
https://github.com/open-truss/open-truss/pull/171,https://api.github.com/repos/open-truss/open-truss/pulls/171,https://chatgpt.com/share/0228ac85-db19-4cf8-baff-3167c1315517,200
https://github.com/alshedivat/al-folio/pull/2059,https://api.github.com/repos/alshedivat/al-folio/pulls/2059,https://chatgpt.com/share/24432d24-36a7-4d6f-a5c0-d7e5142f68cd,200
https://github.com/strictphp/http-clients/pull/7,https://api.github.com/repos/strictphp/http-clients/pulls/7,https://chat.openai.com/share/df1da483-465a-49d6-80e1-fc6f21992b58,200
https://github.com/UNLV-CS472-672/2024-S-GROUP3-Barbell/pull/225,https://api.github.com/repos/UNLV-CS472-672/2024-S-GROUP3-Barbell/pulls/225,https://chat.openai.com/share/edbfaba8-f225-4168-8d86-c8263ed9ddc5,200
https://github.com/wavlake/catalog/pull/404,https://api.github.com/repos/wavlake/catalog/pulls/404,https://chatgpt.com/share/58562633-8742-4748-8f6d-290338880f5f,200
https://github.com/UNLV-CS472-672/2024-S-GROUP3-Barbell/pull/223,https://api.github.com/repos/UNLV-CS472-672/2024-S-GROUP3-Barbell/pulls/223,https://chatgpt.com/share/76270bd9-7a89-4f77-bc9e-91989a8c81b6,200
https://github.com/UNLV-CS472-672/2024-S-GROUP5-Munch/pull/107,https://api.github.com/repos/UNLV-CS472-672/2024-S-GROUP5-Munch/pulls/107,https://chatgpt.com/share/28fec7d8-740c-4aab-ad42-bfad225f607b,200
